STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        403;20180307;-999;-999;-999;    3;   2.2;   8;    0.000;   1;   8.0;   6.6;  984.29;    1.2;   98.79;    1.9;    0.3;   -0.5;eor
        403;20180308;-999;-999;-999;    3;   5.7;   8;    3.267;   0;   6.6;   6.8;  991.08;    4.3;   83.25;    9.6;    0.9;   -0.7;eor
        403;20180309;-999;-999;-999;    3;   0.0;   6;    2.983;   0;   5.1;   6.4;  995.77;    4.3;   78.71;    8.7;   -1.0;   -3.5;eor
        403;20180310;-999;-999;-999;    3;   2.0;   6;    0.083;   0;   6.6;   8.3;  995.28;    4.5;   96.04;    9.2;   -1.2;   -3.2;eor
        403;20180311;-999;-999;-999;    3;   0.0;   0;    8.967;   0;   4.3;   9.5;  989.85;    9.7;   81.30;   16.5;    3.3;   -1.1;eor
        403;20180312;-999;-999;-999;    3;   7.6;   6;    0.000;   0;   7.6;  10.2;  982.31;    8.0;   94.96;    9.8;    5.1;    0.9;eor
        403;20180313;-999;-999;-999;    3;   1.9;   6;    0.783;   0;   7.0;   9.5;  989.08;    8.8;   84.54;   11.5;    4.0;    3.5;eor
        403;20180314;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   7.6;   7.0; 1000.86;    3.9;   87.00;    5.2;    2.5;    1.6;eor
        403;20180315;-999;-999;-999;    3;   0.0;   0;    0.000;   0;   7.6;   6.2;  999.69;    3.0;   82.38;    4.9;    1.7;    0.9;eor
        403;20180316;-999;-999;-999;    3;   0.4;   8;    0.000;   0;   8.0;   4.5;  998.96;   -0.2;   73.63;    1.7;   -2.7;   -3.0;eor
        403;20180317;-999;-999;-999;    3;   0.0;   0;    8.417;   0;   6.4;   2.6; 1004.68;   -3.1;   52.71;   -0.5;   -5.3;   -5.5;eor
